case_id,entity_id
CASE-001,ENT-001
CASE-001,ENT-004
CASE-001,ENT-006
CASE-001,ENT-008
CASE-001,ENT-010
CASE-001,ENT-012
CASE-001,ENT-014
CASE-001,ENT-017
CASE-001,ENT-018
CASE-002,ENT-001
CASE-002,ENT-002
CASE-002,ENT-005
CASE-002,ENT-006
CASE-002,ENT-009
CASE-002,ENT-011
CASE-002,ENT-012
CASE-002,ENT-015
CASE-002,ENT-017
CASE-003,ENT-002
CASE-003,ENT-003
CASE-003,ENT-004
CASE-003,ENT-007
CASE-003,ENT-009
CASE-003,ENT-010
CASE-003,ENT-013
CASE-003,ENT-014
CASE-003,ENT-016
