event_id,case_id,entity_id,timestamp,event_type,location,description
EVT-001,CASE-001,ENT-001,2026-08-10T10:15:00Z,REPORT_CREATED,Bengaluru,Synthetic event
EVT-002,CASE-001,ENT-006,2026-08-10T10:30:00Z,PHONE_ACTIVITY,Bengaluru,Synthetic event
EVT-003,CASE-001,ENT-012,2026-08-11T08:20:00Z,DEVICE_ACTIVITY,Hyderabad,Synthetic event
EVT-004,CASE-001,ENT-010,2026-08-12T15:40:00Z,ACCOUNT_ACTIVITY,Mumbai,Synthetic event
EVT-005,CASE-002,ENT-006,2026-08-19T12:10:00Z,CALL_ACTIVITY,Hyderabad,Synthetic event
EVT-006,CASE-002,ENT-002,2026-08-20T09:00:00Z,REPORT_CREATED,Hyderabad,Synthetic event
EVT-007,CASE-002,ENT-012,2026-08-21T16:25:00Z,DEVICE_ACTIVITY,Bengaluru,Synthetic event
EVT-008,CASE-003,ENT-002,2026-08-27T18:30:00Z,LOCATION_CLAIM,Bengaluru,Synthetic claim
EVT-009,CASE-003,ENT-002,2026-08-27T18:45:00Z,LOCATION_CLAIM,Mumbai,Synthetic conflicting claim
EVT-010,CASE-003,ENT-010,2026-08-28T10:30:00Z,ACCOUNT_ACTIVITY,Mumbai,Synthetic event
