relationship_id,case_id,from_entity_id,to_entity_id,relationship_type,evidence_id,confidence
REL-001,CASE-001,ENT-001,ENT-006,USES_PHONE,EVD-001,0.96
REL-002,CASE-001,ENT-001,ENT-004,ASSOCIATED_WITH,EVD-001,0.89
REL-003,CASE-001,ENT-006,ENT-012,ASSOCIATED_WITH_DEVICE,EVD-002,0.84
REL-004,CASE-001,ENT-012,ENT-018,USED_BY,EVD-002,0.91
REL-005,CASE-001,ENT-018,ENT-017,ACCESSES,EVD-002,0.88
REL-006,CASE-001,ENT-010,ENT-004,ASSOCIATED_WITH,EVD-003,0.86
REL-007,CASE-002,ENT-001,ENT-006,USES_PHONE,EVD-004,0.87
REL-008,CASE-002,ENT-006,ENT-007,CONTACTED,EVD-004,0.82
REL-009,CASE-002,ENT-002,ENT-009,USES_EMAIL,EVD-005,0.97
REL-010,CASE-002,ENT-002,ENT-005,ASSOCIATED_WITH,EVD-005,0.90
REL-011,CASE-002,ENT-012,ENT-006,ASSOCIATED_WITH_DEVICE,EVD-006,0.79
REL-012,CASE-003,ENT-002,ENT-014,CLAIMED_LOCATION,EVD-007,0.74
REL-013,CASE-003,ENT-002,ENT-016,CLAIMED_LOCATION,EVD-008,0.74
REL-014,CASE-003,ENT-010,ENT-004,ASSOCIATED_WITH,EVD-009,0.81
